target_id,seed,N,drift_level,final_fidelity_RL_adaptive,final_fidelity_XYZ_interleaved,tracking_fidelity_RL_adaptive,tracking_fidelity_XYZ_interleaved,delta_final_fidelity,delta_tracking_fidelity
6,0,25,0.01,0.9335174874330363,0.9242166213644031,0.5383305516644523,0.8090189930109117,0.009300866068633229,-0.2706884413464594
6,0,50,0.0,0.9608376450130799,0.9232586026306452,0.7137675807770067,0.8836716873303222,0.0375790423824347,-0.16990410655331545
6,0,50,0.0025,0.9673319605760791,0.9805801334094891,0.9268103686303728,0.8548362491932211,-0.013248172833410066,0.0719741194371517
6,0,50,0.005,0.9038685484643884,0.9881820068200591,0.8180837452552077,0.8469500788564192,-0.08431345835567072,-0.02886633360121149
6,0,50,0.01,0.9755620265036766,0.936926361751356,0.7611247432742081,0.834814265853198,0.03863566475232061,-0.07368952257898986
7,0,10,0.0,0.8421731116902766,0.8902406085768054,0.7336998055446802,0.8165970650690048,-0.04806749688652878,-0.08289725952432458
7,0,10,0.0025,0.8028939953796754,0.5380268104792411,0.7624348329575613,0.7023769212996613,0.26486718490043437,0.060057911657899976
7,0,10,0.005,0.8684335296570914,0.8684776364777884,0.7850392861039839,0.7800477513056991,-4.410682069699856e-05,0.004991534798284736
7,0,10,0.01,0.8798461874236099,0.8317443193083621,0.5862436613369862,0.7073811556444334,0.04810186811524775,-0.12113749430744714
7,0,25,0.0,0.952320369326657,0.9110620870542141,0.8226942198949917,0.7531123011154132,0.04125828227244288,0.06958191877957853
7,0,25,0.0025,0.9525712197150522,0.9922716093622435,0.8094409776458903,0.8376121842542414,-0.03970038964719125,-0.02817120660835115
7,0,25,0.005,0.7689837994004304,0.9306740779830145,0.6753779170833828,0.9020117925826348,-0.1616902785825841,-0.22663387549925196
7,0,25,0.01,0.44689735724711604,0.9131832677211922,0.7384406408075535,0.8281352312379298,-0.46628591047407614,-0.08969459043037631
7,0,50,0.0,0.9411111764816508,0.8345441717293314,0.817347938054858,0.8412561887600419,0.1065670047523194,-0.023908250705183987
7,0,50,0.0025,0.9449215854071865,0.9336641457794274,0.8443897601453508,0.8773954335842484,0.011257439627759158,-0.0330056734388976
7,0,50,0.005,0.8856540510793242,0.9045407317155061,0.8009195323256477,0.8410086964913575,-0.01888668063618193,-0.040089164165709734
7,0,50,0.01,0.9905613312962073,0.950905955069197,0.7782581250806616,0.8933004076785559,0.03965537622701032,-0.11504228259789429
8,0,10,0.0,0.8914124995972903,0.6408131517963641,0.8659786768166772,0.7104828440107466,0.2505993478009262,0.1554958328059306
8,0,10,0.0025,0.8905740088314438,0.8737951780158946,0.6647925906923912,0.7953087534795642,0.016778830815549206,-0.13051616278717304
8,0,10,0.005,0.8386839147500206,0.8024275400229622,0.7024135837735453,0.6149382364550957,0.03625637472705834,0.08747534731844964
8,0,10,0.01,0.8075421083242892,0.8933192938550528,0.6725805591562876,0.8755622152393008,-0.08577718553076363,-0.20298165608301322
