target_id,seed,N,drift_level,method,final_fidelity,final_infidelity,tracking_fidelity,tracking_infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
2,0,25,0.005,XYZ_interleaved,0.8507919458606455,0.14920805413935445,0.7661641539859264,0.2338358460140736,8,0,0,0,9,0,0,0,8
2,0,25,0.005,ZX_interleaved,0.9456392974038806,0.05436070259611936,0.8327902931280624,0.1672097068719376,13,0,0,0,12,0,0,0,0
2,0,25,0.005,Z_only,0.6808076084478362,0.31919239155216383,0.6819301106525859,0.3180698893474141,25,0,0,0,0,0,0,0,0
2,0,25,0.005,Balanced_random,0.7196360051024844,0.2803639948975156,0.5000197670028634,0.49998023299713656,4,2,3,2,3,2,3,4,2
2,0,25,0.01,RL_adaptive,0.8653326125584277,0.13466738744157225,0.7428890372310609,0.2571109627689391,2,6,1,7,2,0,0,0,7
2,0,25,0.01,XYZ_interleaved,0.8071819594133228,0.19281804058667718,0.8038314928261258,0.19616850717387424,8,0,0,0,9,0,0,0,8
2,0,25,0.01,ZX_interleaved,0.7086347917530411,0.2913652082469589,0.6389400039667608,0.36105999603323924,13,0,0,0,12,0,0,0,0
2,0,25,0.01,Z_only,0.7125790332001377,0.2874209667998623,0.5420192152982675,0.45798078470173254,25,0,0,0,0,0,0,0,0
2,0,25,0.01,Balanced_random,0.8999660575907404,0.10003394240925956,0.6779244144450716,0.32207558555492843,2,3,1,1,1,5,3,4,5
2,0,50,0.0,RL_adaptive,0.968797722299253,0.031202277700747016,0.9015436111844906,0.09845638881550944,5,5,9,4,10,0,11,2,4
2,0,50,0.0,XYZ_interleaved,0.9836769717183917,0.016323028281608254,0.8716425004854749,0.12835749951452513,16,0,0,0,17,0,0,0,17
2,0,50,0.0,ZX_interleaved,0.8389027555433255,0.1610972444566745,0.7609260874508774,0.23907391254912258,25,0,0,0,25,0,0,0,0
2,0,50,0.0,Z_only,0.5723284364089213,0.4276715635910787,0.5626951632812933,0.4373048367187067,50,0,0,0,0,0,0,0,0
2,0,50,0.0,Balanced_random,0.9633003573233193,0.03669964267668069,0.7898006648259674,0.21019933517403255,10,5,4,13,5,3,1,2,7
2,0,50,0.0025,RL_adaptive,0.9222397750115287,0.07776022498847135,0.8586737205185454,0.1413262794814546,3,1,8,0,9,7,17,4,1
2,0,50,0.0025,XYZ_interleaved,0.9010756183698998,0.0989243816301002,0.8584161552475897,0.14158384475241026,16,0,0,0,17,0,0,0,17
2,0,50,0.0025,ZX_interleaved,0.9056168941856656,0.0943831058143344,0.8200831307374046,0.17991686926259542,25,0,0,0,25,0,0,0,0
2,0,50,0.0025,Z_only,0.920557466525153,0.07944253347484698,0.9006755360945986,0.0993244639054014,50,0,0,0,0,0,0,0,0
2,0,50,0.0025,Balanced_random,0.8589754161082059,0.14102458389179406,0.8226555373953113,0.17734446260468872,7,9,5,3,5,7,6,4,4
2,0,50,0.005,RL_adaptive,0.7929000855432493,0.2070999144567507,0.8715083364789088,0.1284916635210912,10,6,8,0,6,1,16,0,3
2,0,50,0.005,XYZ_interleaved,0.7891115175394914,0.21088848246050862,0.8678336678688764,0.1321663321311236,16,0,0,0,17,0,0,0,17
2,0,50,0.005,ZX_interleaved,0.9379425721836097,0.06205742781639034,0.8182583181664224,0.18174168183357764,25,0,0,0,25,0,0,0,0
2,0,50,0.005,Z_only,0.6344042108139577,0.3655957891860423,0.5721963086944346,0.4278036913055654,50,0,0,0,0,0,0,0,0
2,0,50,0.005,Balanced_random,0.7629617262153667,0.23703827378463327,0.8380059813805519,0.16199401861944807,7,4,4,5,5,6,5,7,7
2,0,50,0.01,RL_adaptive,0.989126462355577,0.010873537644423004,0.8254489493094787,0.17455105069052135,7,6,4,0,10,2,19,1,1
2,0,50,0.01,XYZ_interleaved,0.9882065116673394,0.011793488332660584,0.7795840245834147,0.2204159754165853,16,0,0,0,17,0,0,0,17
2,0,50,0.01,ZX_interleaved,0.7615126017920253,0.2384873982079747,0.6477576582335738,0.3522423417664262,25,0,0,0,25,0,0,0,0
2,0,50,0.01,Z_only,0.5231873943876137,0.47681260561238625,0.4617464375661532,0.5382535624338468,50,0,0,0,0,0,0,0,0
2,0,50,0.01,Balanced_random,0.9152473607589869,0.08475263924101306,0.8513543140189676,0.14864568598103245,6,6,8,7,6,5,4,2,6
3,0,10,0.0,RL_adaptive,0.5547659663795197,0.4452340336204803,0.3156777360145432,0.6843222639854568,1,2,0,0,1,3,2,0,1
3,0,10,0.0,XYZ_interleaved,0.7216882220760309,0.2783117779239691,0.771689115605899,0.22831088439410097,3,0,0,0,4,0,0,0,3
3,0,10,0.0,ZX_interleaved,0.8318871359330396,0.16811286406696035,0.5958599783298675,0.4041400216701325,5,0,0,0,5,0,0,0,0
3,0,10,0.0,Z_only,0.6198654579724701,0.38013454202752994,0.591871786568694,0.408128213431306,10,0,0,0,0,0,0,0,0
3,0,10,0.0,Balanced_random,0.8721007255437675,0.1278992744562325,0.7588900797770122,0.24110992022298783,1,1,2,2,0,1,1,1,1
