target_id,seed,N,method,true_theta,theta_hat,theta_error,fidelity,infidelity,z_counts_0,z_counts_1,x_counts_0,x_counts_1,reward
40,1,250,Z_only,5.701417447607752,0.5585961153385702,1.1403639749104046,0.7086318782546671,0.2913681217453329,231,19,0,0,
40,1,250,ZX_split,5.701417447607752,5.756889161561548,0.05547171395379635,0.9992309194802832,0.0007690805197168027,115,10,32,93,
40,1,250,RL_adaptive,5.701417447607752,5.697968211748027,0.0034492358597253414,0.9999970256959446,2.9743040553809053e-06,1,0,42,207,0.9999970256959446
40,1,500,Z_only,5.701417447607752,0.6435011087932843,1.2252689683651186,0.6693464571351804,0.3306535428648196,450,50,0,0,
40,1,500,ZX_split,5.701417447607752,5.661940796649525,0.0394766509582265,0.9996104491010933,0.0003895508989066876,220,30,57,193,
40,1,500,RL_adaptive,5.701417447607752,5.417871129164401,0.2835463184433511,0.9800346759706785,0.019965324029321496,462,37,0,1,0.9800346759706785
40,2,10,Z_only,5.701417447607752,0.0,0.5817678595718343,0.9177462569740399,0.08225374302596011,10,0,0,0,
40,2,10,ZX_split,5.701417447607752,5.742765806909002,0.04134835930125025,0.9995726391887408,0.0004273608112591587,5,0,1,4,
40,2,10,RL_adaptive,5.701417447607752,5.373432149235376,0.32798529837237567,0.9733466365502296,0.02665336344977043,8,1,0,1,0.9733466365502296
40,2,25,Z_only,5.701417447607752,0.8230336921349761,1.4048015517068109,0.582616756982387,0.417383243017613,21,4,0,0,
40,2,25,ZX_split,5.701417447607752,5.709518639011425,0.008101191403673269,0.9999835927641936,1.6407235806426e-05,11,1,3,10,
40,2,25,RL_adaptive,5.701417447607752,5.81953769817878,0.11812025057102815,0.9965159553256931,0.003484044674306852,1,0,6,18,0.9965159553256931
40,2,50,Z_only,5.701417447607752,0.7074832117793429,1.2892510713511776,0.638920197088967,0.36107980291103303,44,6,0,0,
40,2,50,ZX_split,5.701417447607752,5.686008649086909,0.015408798520843092,0.9999406434064748,5.9356593525183854e-05,25,0,4,21,
40,2,50,RL_adaptive,5.701417447607752,5.4091312619147,0.29228618569305187,0.9787938159985216,0.021206184001478445,45,4,0,1,0.9787938159985216
40,2,100,Z_only,5.701417447607752,0.45102681179626264,1.032794671368097,0.7562104843674896,0.2437895156325104,95,5,0,0,
40,2,100,ZX_split,5.701417447607752,5.543210423203715,0.158207024404037,0.9937556750146637,0.006244324985336336,48,2,4,46,
40,2,100,RL_adaptive,5.701417447607752,0.9097531579442099,1.4915210175160443,0.5395961500501777,0.4604038499498223,88,11,1,0,0.5395961500501777
40,2,250,Z_only,5.701417447607752,0.5585961153385702,1.1403639749104046,0.7086318782546671,0.2913681217453329,231,19,0,0,
40,2,250,ZX_split,5.701417447607752,5.768733994120558,0.0673165465128065,0.9988675483819961,0.0011324516180039046,120,5,30,95,
40,2,250,RL_adaptive,5.701417447607752,5.7322028195059485,0.030785371898196523,0.9997630839313782,0.00023691606862175085,1,0,48,201,0.9997630839313782
40,2,500,Z_only,5.701417447607752,0.6300466904458402,1.2118145500176745,0.675660549472299,0.32433945052770097,452,48,0,0,
40,2,500,ZX_split,5.701417447607752,5.7852000550462686,0.08378260743851662,0.9982461449686953,0.001753855031304652,228,22,69,181,
40,2,500,RL_adaptive,5.701417447607752,5.394177193546957,0.3072402540607948,0.9765859132860761,0.023414086713923865,452,47,0,1,0.9765859132860761
40,3,10,Z_only,5.701417447607752,0.9272952180016121,1.5090630775734466,0.5308470229256887,0.46915297707431125,8,2,0,0,
