target_id,seed,N,method,true_theta,true_phi,fidelity,infidelity,z_counts_0,z_counts_1,x_counts_0,x_counts_1,y_counts_0,y_counts_1,reward
40,1,250,RL_adaptive,2.7548726242541037,1.489907523868204,0.9977490351674165,0.0022509648325834686,0,1,87,71,68,23,0.9977490351674165
40,1,500,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,22,478,0,0,0,0,
40,1,500,ZX_split,2.7548726242541037,1.489907523868204,0.9624907681738297,0.037509231826170275,7,243,136,114,0,0,
40,1,500,XYZ_split,2.7548726242541037,1.489907523868204,0.999768469974994,0.00023153002500597708,10,156,87,79,116,52,
40,1,500,RL_adaptive,2.7548726242541037,1.489907523868204,0.9978004492851816,0.0021995507148183657,0,1,47,39,273,140,0.9978004492851816
40,2,10,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,0,10,0,0,0,0,
40,2,10,ZX_split,2.7548726242541037,1.489907523868204,0.9510946919466978,0.04890530805330218,0,5,2,3,0,0,
40,2,10,XYZ_split,2.7548726242541037,1.489907523868204,0.9731226247106232,0.026877375289376837,0,3,1,2,3,1,
40,2,10,RL_adaptive,2.7548726242541037,1.489907523868204,0.8382181050227446,0.16178189497725537,0,1,1,0,4,4,0.8382181050227446
40,2,25,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,1,24,0,0,0,0,
40,2,25,ZX_split,2.7548726242541037,1.489907523868204,0.9605429177265936,0.039457082273406385,0,12,6,7,0,0,
40,2,25,XYZ_split,2.7548726242541037,1.489907523868204,0.960351478266648,0.03964852173335198,0,8,4,4,9,0,
40,2,25,RL_adaptive,2.7548726242541037,1.489907523868204,0.8760941212214081,0.12390587877859194,0,1,1,0,16,7,0.8760941212214081
40,2,50,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,4,46,0,0,0,0,
40,2,50,ZX_split,2.7548726242541037,1.489907523868204,0.9562665515091036,0.04373344849089644,2,23,11,14,0,0,
40,2,50,XYZ_split,2.7548726242541037,1.489907523868204,0.9873484391514408,0.012651560848559229,0,16,7,9,11,7,
40,2,50,RL_adaptive,2.7548726242541037,1.489907523868204,0.9981314172569277,0.0018685827430723334,0,1,10,11,19,9,0.9981314172569277
40,2,100,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,4,96,0,0,0,0,
40,2,100,ZX_split,2.7548726242541037,1.489907523868204,0.9619060203844222,0.03809397961557781,3,47,24,26,0,0,
40,2,100,XYZ_split,2.7548726242541037,1.489907523868204,0.98148434258901,0.01851565741099004,1,32,20,13,20,14,
40,2,100,RL_adaptive,2.7548726242541037,1.489907523868204,0.9809902260674807,0.019009773932519347,0,1,41,25,28,5,0.9809902260674807
40,2,250,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,11,239,0,0,0,0,
40,2,250,ZX_split,2.7548726242541037,1.489907523868204,0.9629255466615856,0.037074453338414415,5,120,62,63,0,0,
40,2,250,XYZ_split,2.7548726242541037,1.489907523868204,0.9983926801644133,0.0016073198355867069,5,78,41,42,60,24,
40,2,250,RL_adaptive,2.7548726242541037,1.489907523868204,0.9997851262978977,0.00021487370210226953,0,1,97,86,47,19,0.9997851262978977
40,2,500,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,22,478,0,0,0,0,
40,2,500,ZX_split,2.7548726242541037,1.489907523868204,0.9633255821519581,0.03667441784804193,9,241,129,121,0,0,
