target_id,seed,N,method,true_theta1,true_phi1,true_theta2,true_phi2,fidelity,infidelity,z1_counts_0,z1_counts_1,x1_counts_0,x1_counts_1,y1_counts_0,y1_counts_1,z2_counts_0,z2_counts_1,x2_counts_0,x2_counts_1,y2_counts_0,y2_counts_1
41,4,50,Z_only,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,50,0,0,0,0,0,49,1,0,0,0,0
41,4,50,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9365592436682117,0.06344075633178825,25,0,10,15,0,0,24,1,13,12,0,0
41,4,50,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9669294114351952,0.033070588564804826,16,0,10,6,7,11,15,1,10,6,6,12
41,4,100,Z_only,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,97,3,0,0,0,0,100,0,0,0,0,0
41,4,100,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.946668853673353,0.05333114632664704,48,2,25,25,0,0,48,2,27,23,0,0
41,4,100,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9735153209356833,0.02648467906431673,31,2,18,15,7,27,33,0,14,19,15,19
41,4,250,Z_only,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,240,10,0,0,0,0,246,4,0,0,0,0
41,4,250,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9408819549331908,0.05911804506680918,117,8,71,54,0,0,125,0,71,54,0,0
41,4,250,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9929764814005261,0.007023518599473921,81,2,41,42,31,53,82,1,37,46,30,54
41,4,500,Z_only,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,488,12,0,0,0,0,492,8,0,0,0,0
41,4,500,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9427648401870667,0.057235159812933256,243,7,130,120,0,0,248,2,110,140,0,0
41,4,500,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9900435323741734,0.009956467625826582,162,4,85,81,53,115,163,3,80,86,77,91
42,0,10,Z_only,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8219737927587414,0.17802620724125862,8,2,0,0,0,0,10,0,0,0,0,0
42,0,10,ZX_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9208245151845359,0.0791754848154641,4,1,1,4,0,0,5,0,1,4,0,0
42,0,10,XYZ_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.938486470309392,0.06151352969060797,3,0,1,2,2,2,3,0,1,2,1,3
42,0,25,Z_only,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8219737927587414,0.17802620724125862,21,4,0,0,0,0,24,1,0,0,0,0
