target_id,seed,theta1,theta2,N,method,l1,kl
1,0,1.3845619148968347,1.1584422520399775,50,Dirichlet(alpha=0.5),0.04875285428783495,0.0028087982862106085
1,0,1.3845619148968347,1.1584422520399775,100,MLE,0.2407671924868175,0.04586949046740725
1,0,1.3845619148968347,1.1584422520399775,100,Dirichlet(alpha=0.5),0.24390444738877834,0.045692580305617625
1,0,1.3845619148968347,1.1584422520399775,250,MLE,0.02323280751318245,0.0003523062548568042
1,0,1.3845619148968347,1.1584422520399775,250,Dirichlet(alpha=0.5),0.019867728148103087,0.00025332526568307536
1,0,1.3845619148968347,1.1584422520399775,500,MLE,0.07084025872362729,0.004006712089145515
1,0,1.3845619148968347,1.1584422520399775,500,Dirichlet(alpha=0.5),0.06982033840490223,0.003829983319975104
1,0,1.3845619148968347,1.1584422520399775,1000,MLE,0.0528402587236273,0.0020229990157658063
1,0,1.3845619148968347,1.1584422520399775,1000,Dirichlet(alpha=0.5),0.052365208823427725,0.002022493549592226
1,1,1.3845619148968347,1.1584422520399775,10,MLE,0.7257940503270826,4.620889662128848
1,1,1.3845619148968347,1.1584422520399775,10,Dirichlet(alpha=0.5),0.5924607169937492,0.25772518573324077
1,1,1.3845619148968347,1.1584422520399775,25,MLE,0.5299335582819462,3.181271815130422
1,1,1.3845619148968347,1.1584422520399775,25,Dirichlet(alpha=0.5),0.46622985457824245,0.25915368820872414
1,1,1.3845619148968347,1.1584422520399775,50,MLE,0.17070075076876376,0.022996264645489733
1,1,1.3845619148968347,1.1584422520399775,50,Dirichlet(alpha=0.5),0.16685459692260993,0.022904741531212622
1,1,1.3845619148968347,1.1584422520399775,100,MLE,0.06993355828194617,0.002769994552596867
1,1,1.3845619148968347,1.1584422520399775,100,Dirichlet(alpha=0.5),0.06304895228786696,0.002304103406958054
1,1,1.3845619148968347,1.1584422520399775,250,MLE,0.05484025872362727,0.002951422397762718
1,1,1.3845619148968347,1.1584422520399775,250,Dirichlet(alpha=0.5),0.05293549681886542,0.0026524073126235467
1,1,1.3845619148968347,1.1584422520399775,500,MLE,0.04220594967291734,0.0011115619597954554
1,1,1.3845619148968347,1.1584422520399775,500,Dirichlet(alpha=0.5),0.04233343971275806,0.0010763023071982333
1,1,1.3845619148968347,1.1584422520399775,1000,MLE,0.02813950795486357,0.0010126233239515442
1,1,1.3845619148968347,1.1584422520399775,1000,Dirichlet(alpha=0.5),0.027572641687398508,0.0009680676205464428
1,2,1.3845619148968347,1.1584422520399775,10,MLE,0.5699335582819461,3.1025691536954816
1,2,1.3845619148968347,1.1584422520399775,10,Dirichlet(alpha=0.5),0.4199335582819461,0.11336966098919861
1,2,1.3845619148968347,1.1584422520399775,25,MLE,0.5299335582819462,4.494956504292576
