state_group,target_id,seed,N,noise,theta1,phi1,theta2,phi2,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
uniform,0,1,25,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9392122184804881,0.06078778151951192,,,,,,,,,
uniform,0,1,25,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.852778784169054,0.14722121583094605,1.0,0.0,6.0,6.0,1.0,0.0,2.0,8.0,1.0
uniform,0,1,25,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,25,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9379917909666098,0.062008209033390216,,,,,,,,,
uniform,0,1,25,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.964110268245644,0.03588973175435595,,,,,,,,,
uniform,0,1,25,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.8630404178537865,0.1369595821462135,1.0,0.0,6.0,1.0,7.0,0.0,8.0,1.0,1.0
uniform,0,1,25,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,25,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9426529430507552,0.0573470569492448,,,,,,,,,
uniform,0,1,25,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.563737806167821,0.436262193832179,,,,,,,,,
uniform,0,1,25,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.7995251720930671,0.20047482790693294,1.0,0.0,7.0,2.0,4.0,0.0,6.0,4.0,1.0
uniform,0,1,50,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,50,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9525637573785499,0.047436242621450075,,,,,,,,,
uniform,0,1,50,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9795485681970002,0.020451431802999798,,,,,,,,,
uniform,0,1,50,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.8976176974457133,0.10238230255428671,9.0,1.0,8.0,0.0,11.0,4.0,10.0,6.0,1.0
uniform,0,1,50,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,50,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9469883940533202,0.05301160594667975,,,,,,,,,
uniform,0,1,50,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9720607983747322,0.02793920162526775,,,,,,,,,
uniform,0,1,50,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9407750532713007,0.05922494672869927,12.0,6.0,0.0,0.0,6.0,9.0,4.0,8.0,5.0
uniform,0,1,50,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,50,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9494770235743283,0.05052297642567172,,,,,,,,,
uniform,0,1,50,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.8337360207225798,0.1662639792774202,,,,,,,,,
uniform,0,1,50,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.8766719061389529,0.12332809386104715,11.0,4.0,2.0,0.0,5.0,10.0,4.0,10.0,4.0
uniform,0,1,50,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,50,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.8872294368056793,0.11277056319432066,,,,,,,,,
uniform,0,1,50,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.8859542174312061,0.11404578256879394,,,,,,,,,
uniform,0,1,50,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.8946816780863112,0.10531832191368884,13.0,0.0,4.0,0.0,10.0,4.0,6.0,7.0,6.0
uniform,0,1,100,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,100,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.95128027964245,0.04871972035755001,,,,,,,,,
uniform,0,1,100,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9983294819601066,0.001670518039893376,,,,,,,,,
uniform,0,1,100,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.995651416965717,0.004348583034282982,15.0,5.0,0.0,2.0,10.0,11.0,0.0,41.0,16.0
uniform,0,1,100,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,100,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9516412748806639,0.04835872511933614,,,,,,,,,
